127.0.0.1 - - [17/Jan/2024:08:31:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:31:49 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21573
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:31:49 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:31:49 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:31:49 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:31:49 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:31:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:14 +0530] "GET /Bookify/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:14 +0530] "GET /Bookify/admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:14 +0530] "GET /Bookify/admin/adminlogin.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:14 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:21 +0530] "POST /Bookify/admin/adb_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:21 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:21 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:23 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 10189
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:23 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:23 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:32:23 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:34:19 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:36:51 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 500 2671
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:36:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:38:10 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 500 2675
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:38:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:44:34 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 500 2675
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:44:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:45:41 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:45:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:06 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:12 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:19 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:19 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 10177
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:19 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:19 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:19 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:19 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:19 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:19 +0530] "GET /Bookify/admin/javascript/category.js HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:19 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:20 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:20 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:34 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:34 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 10189
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:34 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:34 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:34 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:56 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:56 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 10171
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:56 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:56 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:46:56 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:47:07 +0530] "POST /Bookify/admin/updateAdmincategory.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:47:07 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 10189
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:47:07 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:47:07 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:47:07 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:48:37 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 10183
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:48:37 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:48:37 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [17/Jan/2024:08:48:37 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
