127.0.0.1 - - [12/Feb/2024:13:08:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:08:44 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21254
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:08:44 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:08:44 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:08:44 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:08:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:03 +0530] "POST /Bookify/db_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:03 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 22257
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:03 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:03 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:03 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:04 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:04 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:30 +0530] "GET /Bookify/userprofile.jsp HTTP/1.1" 200 19427
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:30 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:30 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:30 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:30 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:09:30 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:22:21 +0530] "GET /Bookify/userprofile.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:22:21 +0530] "GET /Bookify/userprofile.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:22:21 +0530] "GET /Bookify/userprofile.jsp HTTP/1.1" 200 19465
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:22:21 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:22:21 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [12/Feb/2024:13:22:21 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
