127.0.0.1 - - [10/Feb/2024:19:37:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:35 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21599
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:35 +0530] "GET /Bookify/images/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:35 +0530] "GET /Bookify/images/new%20arrival.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:35 +0530] "GET /Bookify/images/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:35 +0530] "GET /Bookify/images/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:35 +0530] "GET /Bookify/images/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:35 +0530] "GET /Bookify/images/saleing%20book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:35 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:36 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:36 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:49 +0530] "GET /Bookify/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:49 +0530] "GET /Bookify/admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:49 +0530] "GET /Bookify/admin/adminlogin.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:49 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:55 +0530] "POST /Bookify/admin/adb_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:56 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:56 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:58 +0530] "GET /Bookify/admin/adminOrder.jsp HTTP/1.1" 200 5855
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:58 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:58 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:37:58 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:42:15 +0530] "GET /Bookify/admin/adminOrder.jsp HTTP/1.1" 200 5705
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:42:15 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:42:15 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [10/Feb/2024:19:42:15 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
