127.0.0.1 - - [11/Jan/2024:18:30:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:32 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21573
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:32 +0530] "GET /Bookify/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:32 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:32 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:32 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:36 +0530] "GET /Bookify/product.jsp?id=2 HTTP/1.1" 200 14285
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:36 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:36 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:36 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:36 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:39 +0530] "GET /Bookify/productdetail.jsp?proid=3 HTTP/1.1" 200 13192
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:39 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:39 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Jan/2024:18:30:39 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
