127.0.0.1 - - [12/Jan/2024:17:52:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21573
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/images/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/images/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/images/new%20arrival.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/images/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/images/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/images/saleing%20book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:56 +0530] "GET /Bookify/product.jsp?id=2 HTTP/1.1" 200 14285
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:56 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:56 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:56 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:56 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:58 +0530] "GET /Bookify/productdetail.jsp?proid=3 HTTP/1.1" 200 13245
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:58 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:58 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:52:58 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:42 +0530] "GET /Bookify/productdetail.jsp?proid=3 HTTP/1.1" 200 13214
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/productdetail.jsp?proid=3 HTTP/1.1" 200 13214
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:53:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/productdetail.jsp?proid=3 HTTP/1.1" 200 13280
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:03:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/productdetail.jsp?proid=3 HTTP/1.1" 200 13351
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:32 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:33 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:33 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:54 +0530] "GET /Bookify/productdetail.jsp?proid=3 HTTP/1.1" 200 13355
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:54 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:54 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:54 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:54 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [12/Jan/2024:18:05:54 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
