127.0.0.1 - - [30/Jan/2024:11:00:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21599
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/images/carousel2.jpg HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/images/carousel3.jpg HTTP/1.1" 200 76645
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/images/carousel4.jpg HTTP/1.1" 200 5938
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/images/new%20arrival.jpg HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/images/saleing%20book.jpg HTTP/1.1" 200 13648
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/images/carousel1.png HTTP/1.1" 200 44857
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:00:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:25 +0530] "POST /Bookify/db_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:25 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 22608
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:25 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:25 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:25 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:25 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:25 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:30 +0530] "GET /Bookify/mywishlist.jsp HTTP/1.1" 200 14315
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:30 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:30 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:30 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:30 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:30 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [30/Jan/2024:11:03:33 +0530] "GET /Bookify/cartdesign.jsp HTTP/1.1" 200 20060
