127.0.0.1 - - [01/Jan/2024:18:31:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21302
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/images/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/images/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/images/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/images/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/images/new%20arrival.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/images/saleing%20book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:21 +0530] "GET /Bookify/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:22 +0530] "GET /Bookify/admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:22 +0530] "GET /Bookify/admin/adminlogin.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:22 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:22 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:22 +0530] "GET /Bookify/admin/javascript/adminlogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:39 +0530] "POST /Bookify/admin/adb_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:39 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:39 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:39 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:54 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:54 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:55 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6388
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:55 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:55 +0530] "GET /Bookify/admin/javascript/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:55 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:31:55 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:10 +0530] "GET /Bookify/admin/adminregisteruser.jsp HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:10 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:10 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:10 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:17 +0530] "GET /Bookify/admin/adminfeedback.jsp HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:17 +0530] "GET /Bookify/admin/javascript/feedbackcheck.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:17 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:17 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:17 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:21 +0530] "GET /Bookify/admin/admincontact.jsp HTTP/1.1" 200 5538
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:21 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:21 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:32:21 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:40:32 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6387
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:40:32 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:40:33 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:40:33 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6388
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/category.js HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6388
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/category.js HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6388
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/category.js HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:28 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:22:44:29 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/category.js HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/category.js HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/category.js HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:27 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/javascript/category.js HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/admincategory.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [01/Jan/2024:23:18:28 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
