127.0.0.1 - - [05/Feb/2024:18:59:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21599
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/images/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/images/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/images/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/images/new%20arrival.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/images/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/images/saleing%20book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:29 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:30 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Feb/2024:18:59:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:03 +0530] "POST /Bookify/db_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:03 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 22602
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:03 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:03 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:03 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:03 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:03 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:06 +0530] "GET /Bookify/cart.jsp HTTP/1.1" 200 19181
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:06 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:06 +0530] "GET /Bookify/images/devdas.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:06 +0530] "GET /Bookify/javascript/cart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:06 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:06 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:07 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:00:07 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:51 +0530] "GET /Bookify/cart.jsp HTTP/1.1" 200 19953
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/cart.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/images/devdas.webp HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/cart.jsp HTTP/1.1" 200 19953
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/images/devdas.webp HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/javascript/cart.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:01:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:02:07 +0530] "GET /Bookify/updatecart.jsp HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:03:05 +0530] "GET /Bookify/updatecart.jsp?id=1&quantity=11 HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/cart.jsp HTTP/1.1" 200 19953
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/images/devdas.webp HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/javascript/cart.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:12 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/cart.jsp HTTP/1.1" 200 19953
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/javascript/cart.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/images/devdas.webp HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:13 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/cart.jsp HTTP/1.1" 200 19953
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/images/devdas.webp HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/javascript/cart.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:14 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:46 +0530] "GET /Bookify/cart.jsp HTTP/1.1" 200 19953
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:46 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:46 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:46 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:46 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [05/Feb/2024:19:06:46 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
