127.0.0.1 - - [10/Jan/2024:09:53:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21573
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/images/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/images/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/images/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/images/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/images/new%20arrival.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/images/saleing%20book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:53:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:06 +0530] "GET /Bookify/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:06 +0530] "GET /Bookify/admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:06 +0530] "GET /Bookify/admin/adminlogin.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:06 +0530] "GET /Bookify/admin/javascript/adminlogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:06 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:06 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:12 +0530] "POST /Bookify/admin/adb_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:12 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:12 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:54:12 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:55:55 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21573
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:55:55 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:55:55 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:55:55 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:56:00 +0530] "GET /Bookify/product.jsp?id=1 HTTP/1.1" 200 15292
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:56:00 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:56:00 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:56:00 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:56:00 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/product.jsp?id=1 HTTP/1.1" 200 15326
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:57:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/product.jsp?id=1 HTTP/1.1" 200 15302
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/javascript/feedbackvalidation.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:37 +0530] "POST /Bookify/db_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:37 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 22552
0:0:0:0:0:0:0:1 - - [10/Jan/2024:09:58:37 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
