127.0.0.1 - - [08/Feb/2024:10:04:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:43 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21599
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:43 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:43 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:43 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:57 +0530] "POST /Bookify/db_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:57 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 22602
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:57 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:57 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:57 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:57 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:57 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:59 +0530] "GET /Bookify/cart.jsp HTTP/1.1" 200 23459
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:59 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:59 +0530] "GET /Bookify/javascript/cart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:59 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:59 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [08/Feb/2024:10:04:59 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
