127.0.0.1 - - [20/Feb/2024:12:22:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:47 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 20908
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/images/carousel4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/images/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/images/newarrival.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/images/carousel1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/images/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/images/sale.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/images/trending.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:22:48 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Feb/2024:12:23:06 +0530] "GET /Bookify/admin HTTP/1.1" 302 -
