127.0.0.1 - - [08/Jan/2024:09:40:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21441
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/images/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/images/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/images/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/images/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/images/new%20arrival.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/images/saleing%20book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:40:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:04 +0530] "GET /Bookify/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:04 +0530] "GET /Bookify/admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:04 +0530] "GET /Bookify/admin/adminlogin.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:04 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:04 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:04 +0530] "GET /Bookify/admin/javascript/adminlogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:10 +0530] "POST /Bookify/admin/adb_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:10 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:10 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:10 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:15 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 7580
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:15 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:15 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:15 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:41:15 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 7592
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/images/book1.jpg HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /Bookify/admin/webfonts/fa-solid-900.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:42:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:49 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 22429
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:49 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:49 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:49 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:49 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:49 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:51 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 22429
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:51 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:51 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:51 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:51 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:51 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:51 +0530] "GET /Bookify/javascript/script.js HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [08/Jan/2024:09:46:51 +0530] "GET /Bookify/images/carousel1.png HTTP/1.1" 200 44857
